name	taxid
Methanospirillum_hungatei	2203
Methanosarcina_barkeri	2208
Methanosarcina_mazei	2209
Methanosarcina_thermophila	2210
Methanosarcina_acetivorans	2214
Methanosarcina_vacuolata	2215
Methanothrix_soehngenii	2223
Methanothrix_thermoacetophila	2224
Methanococcoides_methylutens	2226
Archaeoglobus_fulgidus	2234
Haloarcula_marismortui	2238
Halobacterium_salinarum	2242
Haloferax_volcanii	2246
Halorubrum_lacusprofundi	2247
Haloferax_mediterranei	2252
Natronomonas_pharaonis	2257
Pyrococcus_furiosus	2261
Thermococcus_celer	2264
Thermococcus_litoralis	2265
Thermofilum_pendens	2269
Thermoproteus_tenax	2271
Desulfurococcus_mucosus	2275
Pyrobaculum_islandicum	2277
Staphylothermus_marinus	2280
Sulfolobus_acidocaldarius	2285
Saccharolobus_solfataricus	2287
Desulfobacterium_autotrophicum	2296
Thermoplasma_acidophilum	2303
Methanosphaera_stadtmanae	2317
Methanopyrus_kandleri	2320
Methanohalobium_evestigatum	2322
unclassified_Bacteria	2323
Thermoanaerobacter_kivui	2325
Halanaerobium_praevalens	2331
Thermotoga_maritima	2336
Thermotoga_neapolitana	2337
Haliscomenobacter_hydrossis	2350
Flexistipes_sinusarabici	2352
Desulfomonile_tiedjei	2358
Xylella_fastidiosa	2371
Thermosipho_africanus	2421
Fervidobacterium_islandicum	2423
Fervidobacterium_nodosum	2424
Teredinibacter_turnerae	2426
Roseobacter_denitrificans	2434
Gardnerella_vaginalis	2702
Citrus_sinensis	2711
Hirschia_baltica	2724
Symbiobacterium_thermophilum	2734
Marinobacter_hydrocarbonoclasticus	2743
Halomonas_elongata	2746
Carnobacterium_divergens	2748
Carnobacterium_maltaromaticum	2751
Brochothrix_thermosphacta	2756
Chondrus_crispus	2769
Phaeodactylum_tricornutum	2850
Emiliania_huxleyi	2903
Chlamydomonas_reinhardtii	3055
Volvox_carteri	3067
Auxenochlorella_protothecoides	3075
Physcomitrella_patens	3218
Spinacia_oleracea	3562
Gossypium_hirsutum	3635
Theobroma_cacao	3641
Carica_papaya	3649
Cucumis_melo	3656
Cucumis_sativus	3659
Cucurbita_maxima	3661
Cucurbita_moschata	3662
Cucurbita_pepo	3663
Momordica_charantia	3673
Populus_trichocarpa	3694
Arabidopsis_thaliana	3702
Brassica_napus	3708
Brassica_rapa	3711
Brassica_oleracea	3712
Malus_domestica	3750
Prunus_persica	3760
Cajanus_cajan	3821
Cicer_arietinum	3827
Glycine_max	3847
Lupinus_angustifolius	3871
Medicago_truncatula	3880
Phaseolus_vulgaris	3885
Vigna_angularis	3914
Hevea_brasiliensis	3981
Ricinus_communis	3988
Daucus_carota	4039
Capsicum_annuum	4072
Solanum_lycopersicum	4081
Nicotiana_sylvestris	4096
Nicotiana_tabacum	4097
Nicotiana_tomentosiformis	4098
Solanum_tuberosum	4113
Olea_europaea	4146
Sesamum_indicum	4182
Helianthus_annuus	4232
Lactuca_sativa	4236
Cynara_cardunculus	4265
Nelumbo_nucifera	4432
Oryza_sativa	4530
Oryza_brachyantha	4533
Setaria_italica	4555
Sorghum_bicolor	4558
Zea_mays	4577
Musa_acuminata	4641
Asparagus_officinalis	4686
Phytophthora_infestans	4787
Schizosaccharomyces_pombe	4896
Kluyveromyces_marxianus	4911
Scheffersomyces_stipitis	4924
Meyerozyma_guilliermondii	4929
Saccharomyces_cerevisiae	4932
Torulaspora_delbrueckii	4950
Yarrowia_lipolytica	4952
Zygosaccharomyces_rouxii	4956
Debaryomyces_hansenii	4959
Bipolaris_zeicola	5017
Histoplasma_capsulatum	5037
Aspergillus_clavatus	5057
Aspergillus_flavus	5059
Aspergillus_niger	5061
Aspergillus_oryzae	5062
Neurospora_crassa	5141
Podospora_anserina	5145
Sordaria_macrospora	5147
Sclerotinia_sclerotiorum	5180
Cryptococcus_neoformans	5207
Tremella_mesenterica	5217
Ustilago_maydis	5270
Puccinia_graminis	5297
Trametes_versicolor	5325
Schizophyllum_commune	5334
Agaricus_bisporus	5341
Coprinopsis_cinerea	5346
Candida_albicans	5476
Candida_glabrata	5478
Candida_tropicalis	5482
Coccidioides_immitis	5501
Fusarium_oxysporum	5507
Fusarium_graminearum	5518
Alternaria_alternata	5599
Leishmania_braziliensis	5660
Leishmania_donovani	5661
Leishmania_major	5664
Leishmania_mexicana	5665
Leishmania_infantum	5671
Trypanosoma_brucei	5691
Trypanosoma_cruzi	5693
Trichomonas_vaginalis	5722
Giardia_intestinalis	5741
Acanthamoeba_castellanii	5755
Entamoeba_histolytica	5759
Naegleria_gruberi	5762
Dictyostelium_purpureum	5786
