kegg.code	taxa.id
sbj	2018305
smav	260364
shew	2029986
salg	38313
38313	38313
365590	365590
76854	76854
1810554	1810554
1810555	1810555
332186	332186
ilo	135577
ili	135577
ipi	1096243
idi	2055892
idt	2100422
cps	28229
com	58049
coz	1816218
colw	1816219
cola	2161872
cber	1967665
349064	349064
pha	228
pat	288
psm	234831
pseo	1348114
pia	152297
pphe	161398
pbw	283699
prr	43658
ptn	166935
plz	43657
paln	247523
ppis	43662
pea	28107
pspo	298657
part	394751
ptu	314281
png	28109
ptd	43659
psen	1514074
227	227
387938	387938
maq	2743
mhc	2743
mad	1033846
mbs	490759
msr	1420917
msx	1420916
mpq	330734
mari	1671721
mlq	1749259
msq	1874317
mara	2304594
amc	314275
amh	314275
amaa	314275
amal	314275
amae	314275
amao	314275
amad	314275
amai	314275
amag	314275
amac	28108
amb	28108
amg	28108
amk	28108
alt	715451
aal	589873
aaus	589873
asp	233316
asq	233316
aaw	287094
alr	2267264
ale	1777491
105692	105692
116059	116059
gag	983545
gni	300231
gps	326544
lal	1526571
cate	2172099
salh	2183582
salm	2303538
pin	357794
psy	314282
fbl	44012
mvs	80854
mya	69539
cja	155077
ceb	1945512
cell	1987723
sde	86304
86304	86304
ttu	2426
saga	447471
spoi	1620392
zal	1470434
osg	716816
mthd	252514
micc	1769779
maga	260552
mii	359370
hja	930805
cbu	777
cbs	777
cbd	777
cbg	777
cbc	777
cea	325775
cey	2054173
lpn	446
lph	446
lpo	446
lpu	446
lpm	446
lpf	446
lpp	446
lpc	446
lpa	446
lpe	446
446	446
llo	450
lfa	96230
lha	449
lok	29423
lcd	1867846
les	2005262
lsh	28087
llg	45067
tmc	451
464	464
mca	414
mmt	421
mdn	1538553
mdh	1727196
mko	702114
46896	46896
318114	318114
mah	271065
mpsy	1704499
mmai	1432792
ftu	263
ftq	263
ftf	263
ftw	263
ftr	263
ftt	263
ftg	263
ftl	263
fth	263
fta	263
fts	263
fti	263
fto	263
ftc	263
ftv	263
ftz	263
ftm	263
ftn	263
ftx	263
ftd	263
fty	263
fcf	263
fcn	622488
fhi	622488
fph	28110
fpt	28110
fpi	28110
fpm	28110
fpx	28110
fpz	28110
fpj	28110
frt	573569
fna	657445
fnl	657445
frf	1547445
fper	954
fha	549298
frx	573570
frm	475375
frc	1542390
fgu	594679
tcx	39765
tcy	147268
tao	92245
mej	754476
mec	754477
cyq	385025
cza	1329899
cyy	728003
psal	1238
tig	40754
blep	288004
noc	1229
nhl	133539
nwa	473531
alv	1049
tvi	73141
tmb	80679
mpur	37487
tee	1748243
ntt	1630141
tsy	1166950
1058	1058
aeh	351052
hha	1053
hhc	1052
1052	1052
tgr	1033854
tkm	396595
tni	186931
tti	108010
tvr	106634
ssal	1335746
spiu	1335757
ebs	1442136
aprs	160660
hna	927
haz	1860122
wma	1579979
woc	1548547
gai	437505
hch	158327
158327	158327
csa	158080
hel	2746
hcs	213554
hak	1504981
ham	1610576
hhu	1178482
hco	507626
hsi	1897729
halo	1883416
hhh	115561
hbe	475662
hag	1118153
haf	2136172
halk	272774
ple	91844
ply	91844
plr	91844
plo	91844
pld	91844
plb	91844
plc	91844
pli	91844
paly	91844
crp	114186
cru	114186
crc	114186
crt	114186
crh	114186
crv	114186
cri	114186
eme	1495769
zpl	33074
haa	376489
cmai	28258
kus	698828
kma	157779
abo	59754
adi	285091
apac	1306787
aln	1113728
axe	1094342
kak	1917421
kko	261964
kge	914150
ksd	1144748
kpd	1561924
mmw	400668
mme	119864
mpc	936476
tol	187493
tor	187493
oai	188908
mars	1821621
bsan	1249553
207954	207954
gsn	1445505
rfo	1336806
ome	141451
aha	644
ahy	644
ahd	644
ahr	644
ahp	644
ahj	644
ahh	644
ahi	644
aaj	644
644	644
asa	645
aeo	645
645	645
avr	654
avo	654
amed	651
651	651
asr	652
adh	196024
acav	648
648	648
aem	2033033
aea	1636608
arv	948519
656	656
650	650
646	646
505724	505724
1454008	1454008
tau	43948
oce	511062
ocm	1903694
opf	1416627
zdf	347534
dno	870
gap	1196095
fpp	1267021
sdf	465721
sok	2303331
gbi	1810504
slim	1620215
sva	1675686
acii	1281578
saln	2183911
tbn	1076588
seds	1543721
tsn	1427364
tho	1705394
pspi	1249552
ttc	585455
rma	386487
vok	410330
ebh	113267
bci	186490
bcib	186490
bcig	186490
gpb	83406
enm	1248727
nme	487
nmp	487
nmh	487
nmd	487
nmm	487
nms	487
nmq	487
nmz	487
nma	487
nmw	487
nmx	487
nmc	487
nmn	487
nmt	487
nmi	487
ngo	485
ngk	485
485	485
nla	486
nel	495
nwe	28091
nsi	490
nmj	488
nei	1853278
salv	1196083
kki	504
vff	63
vit	96942
ecor	539
smur	72
nba	2052837
cvi	536
cvc	1108595
chro	2059672
chri	2202141
crz	1778675
lhk	168471
pse	748280
jeu	1906741
aql	1938604
amah	332411
rso	305
rsc	305
rsl	305
rsn	305
rsm	305
rse	305
rpi	329
rpf	329
rpj	329
329	329
rmn	105219
105219	105219
rin	190721
rpu	1310165
70356	70356
211969	211969
reu	248026
reh	106590
cnc	106590
cuh	106590
rme	119219
cti	164546
cbw	68895
68895	68895
cgd	82541
ccup	1389192
cup	367825
cuu	876364
bma	13373
bmv	13373
bml	13373
bmn	13373
bmal	13373
bmae	13373
bmaq	13373
bmai	13373
bmaf	13373
bmaz	13373
bmab	13373
bps	28450
bpm	28450
bpl	28450
bpd	28450
bpr	28450
bpse	28450
bpsm	28450
bpsu	28450
bpsd	28450
bpz	28450
bpq	28450
bpk	28450
bpsh	28450
bpsa	28450
bpso	28450
but	28450
